State,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
AK,287.0,57124878.86501429,246190.0,819133473.9966381,48054.569936535176,77235706.22499992,30969249.439011868,23674.0,1765.0,3895.0,43179482.0,2273195.0,813246112.2863443,660249969.8050662,18247448.0,16586595.0,580745300.0,165042231.0
AL,1450.0,138881148.6356607,1025562.0,2751866056.148271,150664.5869876562,256605992.34583792,152214828.04243967,106361.0,25993.0,22667.0,165547618.0,7167661.0,2756541558.008506,2304144351.11033,74970862.0,66593116.0,1211347800.0,388193183.0
AR,1078.0,114203143.16897151,673866.0,1727633704.7989376,148215.65101689793,201338887.74236545,80136103.97835504,60195.0,7494.0,11440.0,133929320.0,3621401.0,1715833875.1726472,1355716596.4611177,59626846.0,52714024.0,746860900.0,262131499.0
AZ,3716.0,417361905.53619534,2373418.0,6265671921.278897,553518.3362659194,668743154.5729773,782077622.5155257,423047.0,49231.0,113561.0,617812190.0,53047665.0,6046316119.144202,4623961299.89212,278814833.0,240240156.0,3457691679.0,915141153.0
CA,24880.0,2073630169.8027425,18426660.0,49918747987.4254,3669993.1108792974,4865199492.444969,4897852619.4517355,1724198.0,312277.0,737408.0,5024150554.0,789864333.0,49111886781.058716,38785558363.32503,1840070442.0,1713776224.0,57962440452.0,8367362472.0
CO,3693.0,365623769.90538263,2567916.0,6779347404.663904,564388.8568056605,801476870.2422018,710017810.7955875,215973.0,48570.0,90046.0,537683527.0,51923449.0,6531614260.478638,5142026041.043045,232740334.0,214056600.0,5403557707.0,1230819511.0
CT,1829.0,166718010.82399303,1184103.0,3130018255.659083,435433.89697285555,348154251.30164015,286698283.90139896,119406.0,15376.0,53781.0,289459354.0,27573435.0,2923551866.4658685,2127349315.7880344,121549997.0,112509334.0,3797704916.0,938473538.0
DC,436.0,22558735.9667919,148914.0,355926242.2081764,42027.32961638476,44476588.1926767,33324700.078548603,14786.0,3363.0,6517.0,50376089.0,24967316.0,345371932.5056052,269198092.40246195,25648668.0,23142457.0,781369400.0,125236348.0
DE,429.0,30880984.205835916,189164.0,471552041.45816404,71871.75608829597,58398629.45574684,40213243.185516596,23171.0,3541.0,9214.0,64055459.0,4438633.0,450247892.9790969,340715024.5577514,27376687.0,24357947.0,533186400.0,136999812.0
FL,11619.0,1073115440.7513933,4545067.0,11620936081.723558,1326105.5021175279,1339722068.4617112,1194645539.646696,369803.0,89756.0,167810.0,1274637056.0,145102395.0,11219684783.184128,8659268072.300077,584731337.0,497212264.0,7841596304.0,2057928139.0
GA,5447.0,566493931.163822,2871435.0,8581994420.565762,590638.9704227035,1050453655.8881584,797113524.1753502,240401.0,53337.0,81367.0,761904337.0,39736658.0,8539741157.560366,6648600639.350929,319272223.0,285644634.0,4125915400.0,1213258967.0
HI,580.0,26437817.680296615,262509.0,669701872.5482925,96392.01119080551,76339297.80088949,84465605.80695315,40786.0,5508.0,14480.0,127424373.0,14632302.0,635612854.9821411,500184002.3623911,47832662.0,42831431.0,1886316516.0,243548274.0
IA,1403.0,153699696.0329059,1264052.0,2923416640.3673286,234380.81065111427,284845979.2750504,149286906.98724687,142211.0,14944.0,31725.0,182349757.0,8361919.0,2873167045.188375,2353219983.503031,79861491.0,74075178.0,1535427300.0,632257735.0
ID,1361.0,108609588.13637985,1105374.0,2298434413.19326,245117.59635441523,243249334.6511509,188724049.02025035,102840.0,18682.0,39884.0,232000140.0,7726674.0,2160598241.2471247,1755251125.292339,96898657.0,88154379.0,1712600199.0,448794961.0
IL,6883.0,581495295.2195439,2901162.0,7704255013.719171,854587.4746472947,848483652.7580458,712248302.7467709,323291.0,62342.0,98956.0,977927924.0,170213853.0,7307019202.12843,5825943398.949246,412260591.0,376931051.0,6884380907.0,1902722988.0
IN,2578.0,235513868.34996024,1444714.0,3745738395.628966,411397.000133025,393427117.67145187,361170232.68856704,165214.0,39675.0,76704.0,363984761.0,18419220.0,3574532071.752293,2825546319.0485,158980009.0,143905551.0,1935962500.0,741751547.0
KS,1526.0,172535008.33166608,1143084.0,2788547843.9476194,259778.18274378745,260842497.31902003,152010716.98370558,122982.0,15305.0,28623.0,218165876.0,14102419.0,2752096459.870791,2203065551.7163453,93077327.0,85724158.0,1592729300.0,614166963.0
KY,1499.0,146979863.77131224,769666.0,1913750670.378211,225837.90726859766,238045419.0302204,120367156.4043416,77556.0,16042.0,29779.0,183068881.0,10644726.0,1856150841.5163977,1444043824.2359023,81390907.0,74236746.0,1108040200.0,365718185.0
LA,1808.0,169075243.14143893,945141.0,2453363678.026171,200140.75412979285,282636503.5113557,158046658.27215624,94386.0,17540.0,31075.0,230429819.0,16863100.0,2416464756.300797,1922910731.467382,101290329.0,90440746.0,1489848996.0,454592213.0
MA,3460.0,219802611.09625348,2233793.0,5274235740.370626,890802.3115844078,569650421.4344891,566769016.3375795,269834.0,37454.0,118864.0,563178329.0,115323989.0,4824906906.988874,3664797380.073848,240708398.0,222854495.0,9169710357.0,1855237179.0
MD,2830.0,179811205.4363312,1180901.0,3136999231.3954144,381738.7374431444,340891435.76787853,245162915.09171897,155361.0,27179.0,55789.0,412018598.0,41481358.0,2991769364.2019415,2316157029.9195685,172587651.0,158218698.0,4196650903.0,1060230367.0
ME,598.0,47361064.90657652,622438.0,1293242545.602572,178429.9285263883,140315492.79718804,82306719.94468278,60497.0,8456.0,21422.0,74817372.0,4337991.0,1236083141.2911375,966123505.9814022,36720554.0,31980518.0,1188190400.0,298538603.0
MI,4688.0,413672005.14017546,2041431.0,5709382899.402263,688082.820807005,684749754.3191082,541741829.8595022,212140.0,42338.0,98356.0,508001390.0,38536881.0,5380526028.94494,4052896688.208318,223369831.0,199603793.0,2734538300.0,1060535899.0
MN,2888.0,280867071.4004746,2651956.0,7112126005.44391,608255.4488631833,748519670.3888863,657566008.655262,294722.0,52688.0,146915.0,485584573.0,43549490.0,6731630205.747343,5436131204.643927,207152802.0,192023426.0,4821972300.0,1498934801.0
MO,3242.0,304954897.0567058,2131675.0,5075338650.64974,496870.59349561104,512039456.50659186,357873503.54228014,253618.0,40387.0,74009.0,490146712.0,31856375.0,4937531659.719046,4014657637.1129065,221032037.0,198627716.0,3158906801.0,1046971002.0
MS,1263.0,125059082.94243385,823170.0,2171899131.9182296,160311.50789978873,372831139.290408,80259471.6206584,56110.0,10240.0,15589.0,139143500.0,2865761.0,2174046122.9739904,1722232523.0450263,59715152.0,52856312.0,788029001.0,304972722.0
MT,624.0,54204381.70497077,945186.0,2164125499.7572026,197532.90355107974,216860453.9377489,104844296.26609197,82432.0,6888.0,18793.0,186168725.0,4823823.0,2092702425.3239934,1632070158.6154275,86187134.0,78998439.0,1721127499.0,407801602.0
NC,2873.0,216166915.5912377,1466195.0,3838870977.215474,376959.5340559649,544352355.3588719,293746916.7028866,147595.0,39559.0,48511.0,423343425.0,16800733.0,3775209311.152414,2991041422.447628,187749832.0,168423727.0,2554772800.0,719712857.0
ND,416.0,39405801.83376428,529217.0,1353355631.8456967,116452.21859887344,135399697.28001648,86069364.6260058,70625.0,6579.0,14883.0,98710192.0,3323600.0,1295470053.5405233,1048262540.6140233,46119728.0,43448120.0,696914000.0,279186032.0
NE,733.0,75437350.1716095,625196.0,1493251555.2425318,143645.9282017305,161717043.4493698,111930425.80398649,62727.0,9368.0,19686.0,105938556.0,10537456.0,1465351336.779635,1170754758.0252135,45796214.0,42571135.0,831848100.0,338486289.0
NH,1388.0,82723675.89403123,1241734.0,2453902736.400747,396194.6677318333,245337837.43642044,185792659.4471336,141811.0,17529.0,62600.0,176792661.0,10352323.0,2256651721.825401,1796360734.265671,78389075.0,70878758.0,2994165403.0,799984196.0
NJ,4980.0,408111652.2074542,2565568.0,6648159102.865418,839433.9805097764,883925086.7238073,790568749.9263861,204993.0,44096.0,113243.0,637024872.0,132743546.0,6294823024.988593,4587857898.092593,253864909.0,232492374.0,8701613554.0,1914737516.0
NM,677.0,69079433.4290343,679258.0,1722015048.614722,150834.08288431226,170460706.19038606,118918413.05277531,70502.0,10361.0,21642.0,178968226.0,7862780.0,1690178269.3058703,1343268271.8578455,78813507.0,72060177.0,1008446800.0,274279512.0
NV,1906.0,175961167.32102004,993804.0,2508218984.0849395,213890.31369301982,279181767.3973017,277547311.9242146,95340.0,30165.0,46457.0,281158775.0,30325863.0,2454893420.368442,2019303370.5144162,125774178.0,106713668.0,1334707300.0,390586471.0
